term,category,locale,rendering,inflectable,source
MDN,brand,*,,no,I18N-PLAN.md#4-phase-5-item-3
Scrimba Guide,brand,*,,no,I18N-PLAN.md#4-phase-5-item-3
Trustpilot,brand,*,,no,I18N-PLAN.md#4-phase-5-item-3
vibe coding,concept,*,,no,I18N-PLAN.md#4-phase-5-item-3
Advanced JavaScript,course-name,*,,no,data/courses.json#cleanName
Advanced React,course-name,*,,no,data/courses.json#cleanName
Best Python Courses for Beginners [2026],course-name,*,,no,data/courses.json#cleanName
Best React Courses and Tutorials Compared [2026],course-name,*,,no,data/courses.json#cleanName
Build a Memory Game in React,course-name,*,,no,data/courses.json#cleanName
Build a Mobile App with Firebase,course-name,*,,no,data/courses.json#cleanName
Build a Multi-Page Website with HTML and CSS,course-name,*,,no,data/courses.json#cleanName
Build a Product Card with Tailwind CSS,course-name,*,,no,data/courses.json#cleanName
Build a React Project: Movie Search App,course-name,*,,no,data/courses.json#cleanName
Build a Support Agent with Vercel AI SDK,course-name,*,,no,data/courses.json#cleanName
Build and Deploy Your Portfolio,course-name,*,,no,data/courses.json#cleanName
Build Serverless AI Agents with Langbase,course-name,*,,no,data/courses.json#cleanName
"Build Websites with Figma, HTML, and CSS",course-name,*,,no,data/courses.json#cleanName
"Build Websites with Figma, HTML, CSS, and JavaScript.",course-name,*,,no,data/courses.json#title
Command Line Basics,course-name,*,,no,data/courses.json#cleanName
CSS Challenges,course-name,*,,no,data/courses.json#cleanName
CSS Variables Tutorial - Learn CSS variables in this free course,course-name,*,,no,data/courses.json#title
Data Structures and Algorithms,course-name,*,,no,data/courses.json#cleanName
Data Structures and Algorithms: Binary Search,course-name,*,,no,data/courses.json#cleanName
Data Structures and Algorithms: Merge Sort,course-name,*,,no,data/courses.json#cleanName
Deploying with Netlify,course-name,*,,no,data/courses.json#cleanName
Free Botstrap Tutorial - Learn Bootstrap 4 in this hands-on course,course-name,*,,no,data/courses.json#title
Frontend Interview Tips,course-name,*,,no,data/courses.json#cleanName
How to Learn JavaScript: The Complete Beginner's Guide,course-name,*,,no,data/courses.json#cleanName
Intro to AI Engineering,course-name,*,,no,data/courses.json#cleanName
Intro to Astro,course-name,*,,no,data/courses.json#cleanName
Intro to Dall-E and GPT Vision,course-name,*,,no,data/courses.json#cleanName
Intro to Mistral AI,course-name,*,,no,data/courses.json#cleanName
